Order Date,Requested Delivery Date,Customer Country Code,Product Code,Description,Order Type,Customer Order Code,Value,Currency,Items,Route
29-Sep-09,28-May-10,PL,P0066,Desc P0066,VO,ORD1366,996.14,PLN,50,R013
26-Jul-09,05-Jun-10,NL,P0032,Desc P0032,VO,ORD6933,226.17,EUR,12,R011
19-Aug-10,25-May-11,NL,P0017,Desc P0017,VO,ORD8547,487,EUR,37,R012
08-Jun-09,08-Oct-09,NL,P0094,Desc P0094,VO,ORD2078,52.5,EUR,5,R009
16-Nov-09,08-Feb-10,IT,P0025,Desc P0025,VO,ORD4312,301.68,EUR,19,R005
13-May-09,23-Nov-09,PL,P0048,Desc P0048,VO,ORD8312,569.67,PLN,39,R016
01-Dec-09,31-May-10,DE,P0077,Desc P0077,VO,ORD2070,108.16,EUR,6,R018
04-May-10,11-Aug-10,SE,P0044,Desc P0044,VO,ORD1815,507.6,SEK,33,R019
01-Jan-10,16-Apr-10,FI,P0075,Desc P0075,VO,ORD8094,52.36,EUR,4,R019
20-Sep-10,01-Mar-11,FR,P0008,Desc P0008,VO,ORD2903,864.28,EUR,44,R019
20-Oct-09,27-Sep-10,BE,P0018,Desc P0018,VO,ORD2250,629.6,EUR,34,R004
28-Dec-10,11-Apr-11,NL,P0081,Desc P0081,VO,ORD6458,480.01,EUR,47,R008
28-Jul-10,11-Apr-11,DE,P0028,Desc P0028,VO,ORD8205,866.78,EUR,49,R001
08-Dec-10,16-Jun-11,FR,P0048,Desc P0048,VO,ORD1909,39.63,EUR,2,R018
21-Jun-09,02-Jan-10,FR,P0009,Desc P0009,VO,ORD5196,695.84,EUR,39,R014
28-Oct-09,07-Jan-10,ES,P0098,Desc P0098,VO,ORD6186,711.59,EUR,50,R014
01-Aug-10,04-Nov-10,DE,P0018,Desc P0018,VO,ORD1201,675.38,EUR,35,R016
09-Oct-10,10-Aug-11,BE,P0042,Desc P0042,VO,ORD9217,652.62,EUR,41,R010
26-Dec-10,12-Sep-11,PL,P0039,Desc P0039,VO,ORD2928,955.31,PLN,48,R009
09-Feb-10,23-Oct-10,FI,P0044,Desc P0044,VO,ORD1394,239.9,EUR,13,R009
15-Sep-10,06-Aug-11,FR,P0054,Desc P0054,VO,ORD3358,268.73,EUR,23,R018
28-Mar-09,09-Oct-09,FI,P0061,Desc P0061,VO,ORD4621,556.76,EUR,32,R002
29-Apr-10,02-Apr-11,NL,P0071,Desc P0071,VO,ORD9811,335.06,EUR,33,R013
11-Sep-10,12-Dec-10,BE,P0095,Desc P0095,VO,ORD9786,388.42,EUR,30,R009
06-Dec-09,18-Aug-10,FR,P0019,Desc P0019,VO,ORD1008,297.58,EUR,27,R019
31-Dec-09,06-Nov-10,SE,P0025,Desc P0025,VO,ORD9082,728.52,SEK,49,R004
09-Jul-09,30-Oct-09,BE,P0017,Desc P0017,VO,ORD7626,389.43,EUR,24,R017
04-Aug-09,11-Oct-09,BE,P0068,Desc P0068,VO,ORD2865,387.17,EUR,35,R012
02-Aug-10,09-Feb-11,NL,P0089,Desc P0089,VO,ORD2527,195.04,EUR,11,R009
18-Feb-09,07-Aug-09,PL,P0062,Desc P0062,VO,ORD6945,498.12,PLN,48,R017
30-Nov-09,02-Oct-10,FI,P0044,Desc P0044,VO,ORD3547,12.9,EUR,1,R003
09-May-10,24-Jul-10,FI,P0011,Desc P0011,VO,ORD1826,96.04,EUR,6,R001
30-Mar-09,24-Dec-09,NL,P0063,Desc P0063,VO,ORD2337,77.12,EUR,6,R012
12-Aug-10,06-May-11,NL,P0042,Desc P0042,VO,ORD6417,873.54,EUR,48,R018
06-May-10,02-Apr-11,BE,P0020,Desc P0020,VO,ORD9185,485.71,EUR,45,R001
07-Dec-09,18-Feb-10,NL,P0054,Desc P0054,VO,ORD9277,559.71,EUR,35,R004
25-Oct-10,01-May-11,IT,P0018,Desc P0018,VO,ORD5327,521.41,EUR,33,R001
12-Feb-09,10-Nov-09,PL,P0008,Desc P0008,VO,ORD7450,333.08,PLN,27,R018
06-Aug-09,01-Aug-10,TR,P0082,Desc P0082,VO,ORD8674,92.68,TRY,7,R004
27-Jun-10,10-Sep-10,IT,P0051,Desc P0051,VO,ORD6537,614.34,EUR,49,R019
20-Sep-10,23-Jun-11,DE,P0030,Desc P0030,VO,ORD7431,308.04,EUR,17,R013
05-Jan-10,07-Nov-10,TR,P0034,Desc P0034,VO,ORD3070,601.36,TRY,40,R008
28-Feb-09,09-Dec-09,TR,P0040,Desc P0040,VO,ORD5374,70.59,TRY,5,R007
08-Feb-09,05-Dec-09,ES,P0019,Desc P0019,VO,ORD6146,339.11,EUR,24,R019
16-Oct-10,03-Jun-11,FI,P0070,Desc P0070,VO,ORD5916,513.16,EUR,26,R006
27-Jan-10,31-Oct-10,ES,P0086,Desc P0086,VO,ORD3169,276.92,EUR,21,R004
08-Nov-10,05-Sep-11,PL,P0002,Desc P0002,VO,ORD3676,575.92,PLN,30,R018
14-Oct-09,07-Mar-10,IT,P0013,Desc P0013,VO,ORD5447,675.46,EUR,46,R004
28-Jun-10,14-Sep-10,DE,P0025,Desc P0025,VO,ORD8776,517.67,EUR,37,R020
23-Nov-09,15-Sep-10,ES,P0017,Desc P0017,VO,ORD9279,783.37,EUR,46,R019
03-Jun-09,23-Jan-10,PL,P0012,Desc P0012,VO,ORD2611,853.71,PLN,46,R014
28-Jun-10,28-Jun-11,ES,P0013,Desc P0013,VO,ORD6763,463.07,EUR,30,R007
17-Feb-09,16-Sep-09,TR,P0007,Desc P0007,VO,ORD8526,157.63,TRY,13,R006
26-Oct-09,24-Mar-10,BE,P0022,Desc P0022,VO,ORD8088,117.23,EUR,6,R013
05-Aug-09,18-Oct-09,SE,P0099,Desc P0099,VO,ORD3794,75.67,SEK,6,R003
09-May-09,12-Jul-09,IT,P0007,Desc P0007,VO,ORD8019,326.42,EUR,26,R015
05-Oct-10,05-Jan-11,PL,P0003,Desc P0003,VO,ORD1634,573.17,PLN,31,R005
09-Jun-10,28-Feb-11,SE,P0056,Desc P0056,VO,ORD9828,435.76,SEK,31,R002
29-Jan-10,01-Aug-10,IT,P0086,Desc P0086,VO,ORD5769,565.54,EUR,31,R010
27-Oct-10,12-Aug-11,FI,P0021,Desc P0021,VO,ORD6398,54.98,EUR,3,R020
30-Dec-10,14-Dec-11,FI,P0049,Desc P0049,VO,ORD4048,845.44,EUR,43,R008
24-Oct-09,26-Feb-10,ES,P0100,Desc P0100,VO,ORD3422,784.5,EUR,49,R015
11-Feb-10,03-Feb-11,IT,P0060,Desc P0060,VO,ORD3162,79.59,EUR,7,R017
14-Jul-10,18-Nov-10,ES,P0077,Desc P0077,VO,ORD3911,494.64,EUR,34,R003
02-Dec-10,30-May-11,DE,P0057,Desc P0057,VO,ORD3970,158.25,EUR,15,R016
30-Sep-10,28-Jun-11,SE,P0052,Desc P0052,VO,ORD4092,715.92,SEK,41,R002
29-Sep-09,25-Jun-10,PL,P0046,Desc P0046,VO,ORD1392,146.02,PLN,14,R014
22-Feb-09,29-Oct-09,ES,P0070,Desc P0070,VO,ORD1021,889.05,EUR,46,R007
03-Feb-10,10-Jun-10,TR,P0006,Desc P0006,VO,ORD6245,61.96,TRY,6,R002
15-Feb-10,04-Sep-10,IT,P0075,Desc P0075,VO,ORD6121,242.46,EUR,17,R020
09-Nov-10,01-Jul-11,NL,P0019,Desc P0019,VO,ORD4188,129.57,EUR,8,R001
30-May-09,13-May-10,DE,P0003,Desc P0003,VO,ORD9360,577.56,EUR,33,R012
07-Dec-10,30-May-11,IT,P0098,Desc P0098,VO,ORD9841,44.56,EUR,3,R012
10-Feb-09,12-Apr-09,FR,P0022,Desc P0022,VO,ORD4149,426.69,EUR,41,R016
13-Jun-09,03-Oct-09,NL,P0001,Desc P0001,VO,ORD2596,234.55,EUR,17,R012
03-Apr-10,04-Jul-10,FR,P0084,Desc P0084,VO,ORD7926,81.08,EUR,7,R020
11-Nov-10,22-Jan-11,ES,P0069,Desc P0069,VO,ORD2436,297.49,EUR,25,R009
29-Nov-10,03-Mar-11,FR,P0033,Desc P0033,VO,ORD2311,829.59,EUR,44,R004
30-Aug-09,18-Nov-09,SE,P0060,Desc P0060,VO,ORD6252,474.19,SEK,39,R010
08-Mar-10,20-Jun-10,ES,P0069,Desc P0069,VO,ORD2040,588.5,EUR,32,R020
15-Feb-09,16-Jun-09,IT,P0001,Desc P0001,VO,ORD1239,16.32,EUR,1,R002
24-Dec-10,24-Dec-11,TR,P0082,Desc P0082,VO,ORD1276,357.77,TRY,21,R008
21-Oct-10,05-Sep-11,IT,P0018,Desc P0018,VO,ORD9127,430.66,EUR,27,R012
25-Feb-10,07-May-10,TR,P0011,Desc P0011,VO,ORD4285,361.78,TRY,25,R008
16-Aug-09,22-Mar-10,TR,P0074,Desc P0074,VO,ORD8514,531.95,TRY,32,R018
28-Dec-10,20-Apr-11,IT,P0095,Desc P0095,VO,ORD3804,676.98,EUR,40,R004
18-Mar-09,04-Aug-09,TR,P0053,Desc P0053,VO,ORD5596,456.92,TRY,42,R004
04-Apr-10,28-Nov-10,SE,P0052,Desc P0052,VO,ORD6847,875.79,SEK,47,R020
06-May-10,04-Nov-10,PL,P0042,Desc P0042,VO,ORD4027,538.22,PLN,46,R004
17-Mar-09,28-Sep-09,NL,P0089,Desc P0089,VO,ORD3124,315.36,EUR,18,R011
06-May-10,30-Jul-10,FI,P0037,Desc P0037,VO,ORD6085,605.62,EUR,31,R001
23-Jun-10,21-Feb-11,IT,P0062,Desc P0062,VO,ORD9734,686.02,EUR,36,R011
29-Jul-09,25-Jul-10,FR,P0019,Desc P0019,VO,ORD3266,264.78,EUR,23,R020
10-Mar-09,22-Feb-10,TR,P0050,Desc P0050,VO,ORD5701,573.1,TRY,37,R003
27-Mar-10,03-Nov-10,TR,P0013,Desc P0013,VO,ORD6561,791.3,TRY,41,R012
16-Jul-09,27-Nov-09,BE,P0088,Desc P0088,VO,ORD1699,325.21,EUR,32,R020
08-Dec-09,04-Sep-10,DE,P0031,Desc P0031,VO,ORD4403,438.83,EUR,37,R009
03-Jan-09,07-Nov-09,NL,P0072,Desc P0072,VO,ORD8157,439,EUR,33,R007
15-Apr-10,14-Nov-10,IT,P0006,Desc P0006,VO,ORD8005,702.63,EUR,37,R016
07-Dec-09,21-Apr-10,PL,P0082,Desc P0082,VO,ORD7617,69.98,PLN,4,R002
07-Feb-09,20-Apr-09,SE,P0049,Desc P0049,VO,ORD6634,630.22,SEK,42,R015
19-Nov-10,09-Oct-11,NL,P0001,Desc P0001,VO,ORD9049,88.17,EUR,7,R010
13-Jun-09,01-Oct-09,BE,P0039,Desc P0039,VO,ORD4362,628.66,EUR,40,R012
01-Nov-09,05-Jul-10,IT,P0064,Desc P0064,VO,ORD5485,504.79,EUR,47,R009
29-Jul-09,24-Dec-09,TR,P0053,Desc P0053,VO,ORD7374,299.34,TRY,19,R012
10-May-09,23-Dec-09,TR,P0027,Desc P0027,VO,ORD1689,373.68,TRY,30,R010
01-Jan-10,21-Jul-10,FI,P0050,Desc P0050,VO,ORD7540,578.59,EUR,36,R015
28-Oct-10,13-Jan-11,ES,P0033,Desc P0033,VO,ORD3100,356.39,EUR,20,R009
19-Sep-10,16-Mar-11,FR,P0011,Desc P0011,VO,ORD3566,711.97,EUR,39,R016
01-Oct-10,15-Jul-11,IT,P0029,Desc P0029,VO,ORD8982,275.93,EUR,16,R007
15-Apr-10,27-Jul-10,IT,P0049,Desc P0049,VO,ORD2279,707.63,EUR,50,R007
25-Dec-10,11-Sep-11,IT,P0010,Desc P0010,VO,ORD7839,210.08,EUR,16,R019
21-May-10,31-Mar-11,TR,P0045,Desc P0045,VO,ORD6665,457.14,TRY,35,R007
29-Apr-10,06-Feb-11,PL,P0033,Desc P0033,VO,ORD7190,191.45,PLN,13,R017
14-Jul-09,29-Mar-10,NL,P0068,Desc P0068,VO,ORD5483,373.63,EUR,21,R003
31-Dec-09,05-Nov-10,DE,P0067,Desc P0067,VO,ORD5974,422.91,EUR,32,R002
27-Nov-10,08-Nov-11,DE,P0042,Desc P0042,VO,ORD3854,262.21,EUR,24,R012
04-Aug-09,29-Jun-10,SE,P0083,Desc P0083,VO,ORD1302,769.53,SEK,43,R006
27-Jul-10,24-Nov-10,PL,P0097,Desc P0097,VO,ORD4119,117.32,PLN,9,R004
10-Jul-09,14-Sep-09,TR,P0052,Desc P0052,VO,ORD5025,125.44,TRY,10,R016
08-Sep-10,01-Mar-11,ES,P0002,Desc P0002,VO,ORD9483,295.96,EUR,18,R020
08-Dec-09,29-Sep-10,DE,P0049,Desc P0049,VO,ORD8402,499.27,EUR,32,R006
04-May-10,06-Sep-10,TR,P0011,Desc P0011,VO,ORD9534,269.42,TRY,16,R009
14-Jun-10,07-Apr-11,ES,P0012,Desc P0012,VO,ORD4501,343.81,EUR,31,R011
07-May-10,24-Sep-10,BE,P0066,Desc P0066,VO,ORD8465,538.65,EUR,31,R013
06-Oct-09,22-Aug-10,NL,P0018,Desc P0018,VO,ORD3735,697.46,EUR,35,R013
13-Nov-09,23-Jan-10,DE,P0007,Desc P0007,VO,ORD2647,188.69,EUR,10,R006
25-May-10,12-Sep-10,DE,P0093,Desc P0093,VO,ORD4906,441.06,EUR,26,R010
10-Mar-10,23-Sep-10,FR,P0022,Desc P0022,VO,ORD4454,37.41,EUR,3,R008
31-May-09,13-Feb-10,BE,P0013,Desc P0013,VO,ORD1252,233.82,EUR,22,R005
29-May-10,06-Oct-10,FR,P0098,Desc P0098,VO,ORD9722,807.35,EUR,42,R013
06-Sep-09,07-Dec-09,SE,P0056,Desc P0056,VO,ORD5639,573.59,SEK,34,R013
06-Jun-10,25-Nov-10,DE,P0064,Desc P0064,VO,ORD8478,426.28,EUR,26,R006
18-Mar-09,08-Nov-09,TR,P0045,Desc P0045,VO,ORD6811,139.69,TRY,11,R011
29-Sep-09,20-Jan-10,NL,P0059,Desc P0059,VO,ORD1407,543.2,EUR,44,R010
21-Jan-10,16-Aug-10,PL,P0062,Desc P0062,VO,ORD1269,466.8,PLN,33,R008
25-Feb-10,31-Oct-10,DE,P0069,Desc P0069,VO,ORD1144,44.71,EUR,4,R014
19-Dec-09,09-Aug-10,TR,P0090,Desc P0090,VO,ORD6853,68.88,TRY,4,R017
17-May-09,15-Sep-09,SE,P0024,Desc P0024,VO,ORD4484,76.42,SEK,4,R012
21-Apr-10,25-Jul-10,DE,P0076,Desc P0076,VO,ORD4461,97.53,EUR,9,R006
10-Aug-09,05-Jul-10,NL,P0021,Desc P0021,VO,ORD6853,14.18,EUR,1,R011
08-Nov-10,19-May-11,FI,P0052,Desc P0052,VO,ORD3656,761.04,EUR,44,R003
29-Sep-10,17-Aug-11,TR,P0018,Desc P0018,VO,ORD4591,253.1,TRY,23,R014
31-Aug-10,15-Aug-11,ES,P0096,Desc P0096,VO,ORD8382,479.34,EUR,31,R007
22-May-09,01-Aug-09,BE,P0098,Desc P0098,VO,ORD1415,417.65,EUR,21,R018
05-Jan-10,20-Nov-10,SE,P0048,Desc P0048,VO,ORD8401,230,SEK,17,R011
26-Feb-10,07-Sep-10,TR,P0084,Desc P0084,VO,ORD9271,247.8,TRY,15,R016
10-Nov-10,10-Oct-11,FR,P0082,Desc P0082,VO,ORD4250,204.02,EUR,15,R006
05-Nov-09,25-Jun-10,FR,P0007,Desc P0007,VO,ORD3796,232.13,EUR,12,R016
10-Jan-09,20-Oct-09,DE,P0095,Desc P0095,VO,ORD9874,510.1,EUR,39,R019
15-Jan-09,24-Jul-09,TR,P0068,Desc P0068,VO,ORD6454,84.48,TRY,7,R010
22-Sep-09,06-Jul-10,PL,P0079,Desc P0079,VO,ORD8679,416.71,PLN,22,R013
22-Oct-10,10-Apr-11,IT,P0045,Desc P0045,VO,ORD5486,392.23,EUR,32,R016
11-Apr-09,17-Aug-09,FR,P0094,Desc P0094,VO,ORD9332,565.94,EUR,46,R009
06-May-09,15-Feb-10,IT,P0050,Desc P0050,VO,ORD6300,116.69,EUR,8,R018
14-May-09,19-Sep-09,PL,P0021,Desc P0021,VO,ORD7444,508.99,PLN,38,R019
18-Aug-10,24-Feb-11,IT,P0049,Desc P0049,VO,ORD2186,532.34,EUR,36,R001
13-Feb-10,18-Jan-11,FI,P0024,Desc P0024,VO,ORD7383,433.8,EUR,28,R004
19-Aug-10,14-Dec-10,PL,P0019,Desc P0019,VO,ORD9188,96.39,PLN,7,R014
10-Mar-09,21-Jun-09,BE,P0039,Desc P0039,VO,ORD9340,811.99,EUR,47,R016
11-May-09,28-Sep-09,PL,P0095,Desc P0095,VO,ORD8116,886.37,PLN,46,R001
01-Oct-09,25-Jun-10,IT,P0046,Desc P0046,VO,ORD4617,156.32,EUR,8,R006
14-Jun-09,11-Mar-10,NL,P0011,Desc P0011,VO,ORD1049,714.92,EUR,44,R013
06-Mar-09,29-Jun-09,FI,P0023,Desc P0023,VO,ORD4777,221.68,EUR,12,R011
17-Dec-09,09-Dec-10,SE,P0013,Desc P0013,VO,ORD7884,725.69,SEK,40,R017
16-Oct-10,07-Jun-11,ES,P0022,Desc P0022,VO,ORD1307,128.41,EUR,11,R013
30-Sep-09,02-Apr-10,TR,P0017,Desc P0017,VO,ORD8154,856.1,TRY,45,R013
05-Sep-09,23-Jul-10,DE,P0066,Desc P0066,VO,ORD9692,246.56,EUR,19,R011
26-Jul-09,11-Jul-10,DE,P0098,Desc P0098,VO,ORD7551,78.95,EUR,4,R010
27-Nov-10,15-Mar-11,NL,P0020,Desc P0020,VO,ORD4629,510.49,EUR,26,R019
14-Jul-09,02-Jun-10,DE,P0057,Desc P0057,VO,ORD3838,515.66,EUR,36,R013
29-Oct-10,12-Jun-11,FI,P0089,Desc P0089,VO,ORD8539,596.3,EUR,34,R015
07-Feb-10,12-Oct-10,FI,P0049,Desc P0049,VO,ORD8073,538.32,EUR,37,R014
07-Sep-10,03-May-11,NL,P0043,Desc P0043,VO,ORD6627,489.79,EUR,35,R008
07-Jan-10,08-Sep-10,DE,P0100,Desc P0100,VO,ORD6573,182.89,EUR,10,R009
04-Dec-09,20-Mar-10,PL,P0002,Desc P0002,VO,ORD8170,66.45,PLN,5,R001
31-Mar-09,17-Aug-09,FI,P0010,Desc P0010,VO,ORD9117,300.61,EUR,19,R016
14-Aug-09,16-Apr-10,IT,P0047,Desc P0047,VO,ORD2993,80.85,EUR,5,R004
28-Mar-09,06-Dec-09,FR,P0013,Desc P0013,VO,ORD4543,223.07,EUR,19,R011
25-Dec-09,10-May-10,SE,P0011,Desc P0011,VO,ORD2927,760.8,SEK,42,R019
05-Feb-10,10-Oct-10,IT,P0067,Desc P0067,VO,ORD8457,201.55,EUR,15,R012
17-Jul-10,10-Jul-11,DE,P0013,Desc P0013,VO,ORD1192,424.07,EUR,35,R016
23-Apr-10,15-Nov-10,NL,P0091,Desc P0091,VO,ORD9219,652.61,EUR,39,R012
29-Dec-10,08-Oct-11,NL,P0022,Desc P0022,VO,ORD3290,743.65,EUR,48,R019
19-Jun-09,24-Dec-09,BE,P0069,Desc P0069,VO,ORD6579,973.4,EUR,49,R006
22-Feb-10,16-Sep-10,PL,P0087,Desc P0087,VO,ORD6771,264.95,PLN,24,R011
18-May-10,18-Apr-11,ES,P0031,Desc P0031,VO,ORD2952,907.59,EUR,49,R004
08-Oct-10,18-Jun-11,TR,P0063,Desc P0063,VO,ORD4909,932.1,TRY,50,R008
03-Mar-09,02-Feb-10,BE,P0054,Desc P0054,VO,ORD2602,448.82,EUR,37,R006
04-Dec-09,05-May-10,FI,P0057,Desc P0057,VO,ORD7315,117.15,EUR,11,R013
01-Apr-10,05-Aug-10,ES,P0032,Desc P0032,VO,ORD1272,574.8,EUR,30,R016
21-Jun-10,12-Nov-10,FR,P0033,Desc P0033,VO,ORD1878,114.72,EUR,8,R017
11-Jun-10,04-Jun-11,DE,P0069,Desc P0069,VO,ORD4734,66.15,EUR,6,R014
09-Oct-10,16-Mar-11,NL,P0041,Desc P0041,VO,ORD5007,328.39,EUR,17,R018
16-Mar-10,14-Jul-10,PL,P0094,Desc P0094,VO,ORD3545,248.93,PLN,24,R014
10-Feb-09,13-Apr-09,PL,P0020,Desc P0020,VO,ORD9643,739.7,PLN,41,R012
07-May-10,21-Feb-11,SE,P0046,Desc P0046,VO,ORD6915,168.15,SEK,14,R001
26-Mar-09,19-Nov-09,NL,P0010,Desc P0010,VO,ORD2552,167.65,EUR,15,R013
19-Feb-10,06-May-10,NL,P0068,Desc P0068,VO,ORD5295,395.08,EUR,23,R008
03-Aug-10,20-Apr-11,FI,P0050,Desc P0050,VO,ORD5325,381.85,EUR,37,R017
12-Jan-09,09-Jul-09,BE,P0004,Desc P0004,VO,ORD7554,460.41,EUR,38,R020
28-Aug-09,30-Jun-10,FI,P0075,Desc P0075,VO,ORD8789,796.8,EUR,42,R020
